,Country_Region,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Last_Update
475,Pakistan,Islamabad,33.665087,73.121219,108450,966,0,1640596874000.0
476,Pakistan,Khyber Pakhtunkhwa,34.485332,72.09169,181235,5922,0,1640596874000.0
477,Pakistan,Punjab,30.811346,72.139132,444610,13064,0,1640596874000.0
478,Pakistan,Sindh,26.009446,68.776807,480710,7662,0,1640596874000.0
479,Palau,,7.515,134.5825,8,0,0,1640596874000.0
480,Panama,,8.538,-80.7821,487767,7416,0,1640596874000.0
481,Papua New Guinea,,-6.314993,143.95555,36110,589,0,1640596874000.0
482,Paraguay,,-23.4425,-58.4438,465028,16596,0,1640596874000.0
483,Peru,Amazonas,-5.077253,-78.050172,32548,1278,0,1640596874000.0
484,Peru,Ancash,-9.407125,-77.671795,80554,6749,0,1640596874000.0
485,Peru,Apurimac,-14.027713,-72.975378,26688,1525,0,1640596874000.0
486,Peru,Arequipa,-15.843524,-72.475539,116938,9745,0,1640596874000.0
487,Peru,Ayacucho,-14.091648,-74.08344,34948,2155,0,1640596874000.0
488,Peru,Cajamarca,-6.430284,-78.745596,67079,4171,0,1640596874000.0
489,Peru,Callao,-11.954609,-77.136042,103370,10096,0,1640596874000.0
490,Peru,Cusco,-13.191068,-72.153609,75428,4826,0,1640596874000.0
491,Peru,Huancavelica,-13.023888,-75.00277,16479,1181,0,1640596874000.0
492,Peru,Huanuco,-9.421676,-76.040642,36585,2714,0,1640596874000.0
493,Peru,Ica,-14.235097,-75.574821,60871,8589,0,1640596874000.0
494,Peru,Junin,-11.541783,-74.876968,88815,7089,0,1640596874000.0
495,Peru,La Libertad,-7.92139,-78.370238,92585,10357,0,1640596874000.0
496,Peru,Lambayeque,-6.353049,-79.824113,64055,8659,0,1640596874000.0
497,Peru,Lima,-11.766533,-76.604498,993426,89268,0,1640596874000.0
498,Peru,Loreto,-4.124847,-74.424115,45289,4273,0,1640596874000.0
499,Peru,Madre de Dios,-11.972699,-70.53172,14047,773,0,1640596874000.0
500,Peru,Moquegua,-16.860271,-70.839046,29994,1535,0,1640596874000.0
501,Peru,Pasco,-10.39655,-75.307635,16266,1050,0,1640596874000.0
502,Peru,Piura,-5.133361,-80.335861,93823,12220,0,1640596874000.0
503,Peru,Puno,-14.995827,-69.922726,41774,4239,0,1640596874000.0
504,Peru,San Martin,-7.039531,-76.729127,49212,3042,0,1640596874000.0
505,Peru,Tacna,-17.644161,-70.27756,31212,1971,0,1640596874000.0
506,Peru,Tumbes,-3.857496,-80.545255,19479,1589,0,1640596874000.0
