Country,Confirmed,Deaths,Hosp_patients,Vaccinations,Vaccinated_Once,Vaccinated_Full,Vaccinated_Booster,Date
United Kingdom,14624.0,11.0,1607.0,263267.0,44454511.0,32583746.0,0.0,27_06_2021
United Kingdom,17944.0,23.0,1546.0,433946.0,44314799.0,32460191.0,0.0,26_06_2021
United Kingdom,15364.0,18.0,1539.0,377267.0,44080358.0,32260686.0,0.0,25_06_2021
United Kingdom,16702.0,21.0,1518.0,399347.0,43877861.0,32085916.0,0.0,24_06_2021
United Kingdom,15882.0,19.0,1497.0,375635.0,43656327.0,31908103.0,0.0,23_06_2021
United Kingdom,11503.0,27.0,1543.0,550712.0,43448680.0,31740115.0,0.0,22_06_2021
United Kingdom,10467.0,5.0,1519.0,60405.0,43148843.0,31489240.0,0.0,21_06_2021
United Kingdom,9074.0,6.0,1385.0,273158.0,43127763.0,31449915.0,0.0,20_06_2021
United Kingdom,10075.0,14.0,1350.0,516604.0,42964013.0,31340507.0,0.0,19_06_2021
United Kingdom,10272.0,11.0,1365.0,428817.0,42683772.0,31104144.0,0.0,18_06_2021
United Kingdom,10821.0,19.0,1323.0,467238.0,42460632.0,30898467.0,0.0,17_06_2021
United Kingdom,8808.0,9.0,1258.0,430399.0,42216654.0,30675207.0,0.0,16_06_2021
United Kingdom,7587.0,10.0,1233.0,420699.0,42021089.0,30440373.0,0.0,15_06_2021
United Kingdom,7619.0,3.0,1182.0,368555.0,41831056.0,30209707.0,0.0,14_06_2021
United Kingdom,7330.0,8.0,1141.0,328349.0,41698429.0,29973779.0,0.0,13_06_2021
United Kingdom,7550.0,12.0,1106.0,574511.0,41551201.0,29792658.0,0.0,12_06_2021
United Kingdom,7958.0,17.0,1077.0,515723.0,41297016.0,29472332.0,0.0,11_06_2021
United Kingdom,7237.0,7.0,1095.0,509645.0,41088485.0,29165140.0,0.0,10_06_2021
United Kingdom,7319.0,6.0,1064.0,492817.0,40886878.0,28857102.0,0.0,09_06_2021
United Kingdom,5966.0,13.0,1057.0,450284.0,40710319.0,28540844.0,0.0,08_06_2021
United Kingdom,5594.0,1.0,1035.0,419009.0,40573517.0,28227362.0,0.0,07_06_2021
United Kingdom,5223.0,4.0,964.0,387286.0,40460576.0,27921294.0,0.0,06_06_2021
United Kingdom,5651.0,13.0,938.0,676991.0,40333231.0,27661353.0,0.0,05_06_2021
United Kingdom,6140.0,11.0,965.0,567955.0,40129618.0,27187975.0,0.0,04_06_2021
United Kingdom,5179.0,18.0,938.0,568907.0,39949694.0,26799944.0,0.0,03_06_2021
United Kingdom,4261.0,12.0,961.0,521782.0,39758428.0,26422303.0,0.0,02_06_2021
United Kingdom,3099.0,0.0,930.0,447072.0,39585665.0,26073284.0,0.0,01_06_2021
